time_s,rtt_ms
10.742,43.1
11.008,108.0
11.246,146.0
11.463,163.0
11.537,35.0
11.759,56.6
12.048,145.0
12.243,139.0
12.344,39.7
12.533,27.4
12.758,52.1
13.068,161.0
13.267,160.0
13.347,38.9
13.567,59.2
13.856,147.0
13.956,46.9
14.172,62.0
14.347,37.1
14.731,220.0
14.738,18.7
15.268,141.0
15.359,32.6
15.568,40.2
15.754,25.1
16.178,43.5
16.361,25.5
16.554,16.9
16.787,49.0
16.963,24.2
17.198,58.9
17.378,37.9
17.564,23.4
17.78,38.5
17.989,46.4
18.19,47.1
18.409,65.0
18.685,141.0
18.777,32.7
19.0,54.4
19.201,53.7
19.398,51.1
19.753,205.0
19.798,46.4
20.006,53.5
20.191,37.5
20.395,40.9
20.611,56.3
20.783,26.6
20.983,26.5
21.374,14.8
22.826,1266.0
22.826,1059.0
22.826,851.0
22.826,643.0
22.826,435.0
22.826,227.0
22.837,30.0
23.032,24.9
23.226,18.3
23.429,19.9
23.627,17.2
23.827,16.6
24.048,37.2
24.234,22.3
24.455,41.0
24.651,36.9
24.839,24.2
25.05,34.7
25.25,33.2
25.651,234.0
25.651,28.1
25.956,133.0
26.167,143.0
26.25,25.5
26.447,22.9
26.689,63.9
26.881,56.1
27.168,143.0
27.257,30.3
27.461,34.8
27.666,39.5
28.044,216.0
28.046,14.6
28.248,17.0
28.464,33.4
28.66,28.7
28.864,30.9
29.06,26.8
29.434,200.0
29.458,23.8
29.662,25.9
29.86,24.3
30.069,32.0
30.259,21.7
30.662,225.0
30.679,40.2
30.866,26.3
31.059,18.9
31.269,28.3
31.6,159.0
31.666,24.9
31.855,13.4
32.081,38.5
32.282,37.8
32.471,28.1
32.679,35.3
33.063,218.0
33.07,22.6
33.275,26.7
33.474,25.5
33.679,29.8
34.071,15.3
34.289,33.1
34.5,43.1
34.689,31.1
34.888,30.3
35.094,34.7
35.316,55.9
35.595,135.0
35.712,50.2
36.258,395.0
36.258,195.0
36.282,19.7
36.499,35.9
36.73,65.6
36.892,27.0
37.103,36.7
37.321,55.2
37.49,23.1
37.7,32.5
38.055,187.0
38.106,35.9
38.337,66.5
38.496,24.8
38.762,90.1
38.914,41.2
39.332,52.4
39.508,28.3
39.699,17.9
40.034,153.0
40.107,24.9
40.305,22.6
40.679,196.0
40.694,10.5
40.92,35.9
41.162,76.6
41.391,105.0
41.565,78.0
41.713,25.5
42.635,746.0
42.635,539.0
42.635,332.0
42.636,126.0
42.816,104.0
42.931,19.0
43.158,45.2
43.464,151.0
43.623,109.0
43.746,30.2
43.967,50.4
44.306,189.0
44.389,72.8
44.726,209.0
44.745,26.0
44.936,16.9
45.272,153.0
45.336,17.3
45.565,45.4
45.734,13.1
46.133,5.71
46.347,18.2
46.557,28.1
46.748,18.5
47.07,139.0
47.159,26.8
47.356,23.2
47.561,27.5
47.867,133.0
47.954,18.7
48.157,20.9
48.754,416.0
48.754,210.0
48.765,14.3
48.974,21.9
49.276,123.0
49.573,14.4
49.777,16.9
50.036,75.9
50.175,13.9
50.385,23.2
50.59,26.6
50.794,29.5
50.999,33.7
51.349,183.0
51.4,32.7
51.599,30.4
51.863,93.3
51.993,22.8
52.209,38.4
52.4,28.1
52.624,50.6
52.796,22.3
53.001,26.7
53.277,101.0
53.394,18.6
53.608,31.1
53.803,25.0
54.013,34.7
54.248,68.5
54.456,75.7
54.596,14.3
54.808,25.9
55.012,28.9
55.629,30.0
55.92,121.0
56.297,297.0
56.297,90.1
56.513,107.0
56.783,177.0
56.828,21.2
57.08,72.7
57.322,114.0
57.485,77.7
57.733,125.0
57.951,141.0
58.038,27.3
58.379,167.0
58.563,151.0
58.641,29.3
58.847,33.5
59.054,40.2
59.369,154.0
59.447,32.2
59.807,192.0
